,Course Name,Topic Name
0,Introduction to R,R
1,"Data Analysis in R, the data.table Way",R
2,Data Manipulation in R with dplyr,R
3,Data Visualization in R with ggvis,R
4,Reporting with R Markdown,R
5,Intermediate R,R
6,Introduction to Machine Learning,R
7,Cleaning Data in R,R
8,Intermediate R - Practice,R
9,Data Visualization with ggplot2 (Part 1),R
10,Data Visualization with ggplot2 (Part 2),R
11,Data Visualization with ggplot2 (Part 3),R
12,Text Mining: Bag of Words,R
13,Exploring Pitch Data with R,R
14,Working with the RStudio IDE (Part 1),R
15,Introduction to Portfolio Analysis in R,R
16,Writing Functions in R,R
17,Credit Risk Modeling in R,R
18,Machine Learning Toolbox,R
19,Working with the RStudio IDE (Part 2),R
20,Joining Data in R with dplyr,R
21,Manipulating Time Series Data in R with xts & zoo,R
22,Introduction to Time Series Analysis,R
23,Importing & Cleaning Data in R: Case Studies,R
24,Financial Trading in R,R
25,Importing and Managing Financial Data in R,R
26,Exploratory Data Analysis in R: Case Study,R
27,Importing Data in R (Part 1),R
28,Importing Data in R (Part 2),R
29,Data Visualization in R,R
30,Statistical Modeling in R (Part 1),R
31,Statistical Modeling in R (Part 2),R
32,Intermediate Portfolio Analysis in R,R
33,Bond Valuation and Analysis in R,R
34,Foundations of Inference,R
35,Exploratory Data Analysis,R
36,Correlation and Regression,R
37,Introduction to Data,R
38,ARIMA Modeling with R,R
39,Unsupervised Learning in R,R
40,Working with Geospatial Data in R,R
41,Manipulating Time Series Data in R: Case Studies,R
42,Object-Oriented Programming in R: S3 and R6,R
43,Sentiment Analysis in R,R
44,Visualizing Time Series Data in R,R
45,Valuation of Life Insurance Products in R,R
46,Foundations of Probability in R,R
47,Scalable Data Processing in R,R
48,Introduction to R for Finance,R
49,Intermediate R for Finance,R
50,Supervised Learning in R: Classification,R
51,String Manipulation in R with stringr,R
52,Writing Efficient R Code,R
53,Forecasting Using R,R
54,Machine Learning with Tree-Based Models in R,R
55,Working with Web Data in R,R
56,Quantitative Risk Management in R,R
57,Spatial Statistics in R,R
58,Data Visualization in R with lattice,R
59,Introduction to Spark in R using sparklyr,R
60,Sentiment Analysis in R: The Tidy Way,R
61,Multiple and Logistic Regression,R
62,Inference for Linear Regression,R
63,Equity Valuation in R,R
64,Building Web Applications in R with Shiny: Case Studies,R
65,Supervised Learning in R: Regression,R
66,Optimizing R Code with Rcpp,R
67,Dimensionality Reduction in R,R
68,Spatial Analysis in R with sf and raster,R
69,Network Analysis in R,R
70,Building Web Applications in R with Shiny,R
71,Introduction to the Tidyverse,R
72,Developing R Packages,R
73,Inference for Numerical Data,R
74,Data Manipulation in R with data.table,R
75,Fundamentals of Bayesian Data Analysis in R,R
76,Working with Dates and Times in R,R
77,Cluster Analysis in R,R
78,Inference for Categorical Data,R
79,Interactive Data Visualization with plotly in R,R
80,Visualizing Big Data with Trelliscope,R
81,Building Dashboards with flexdashboard,R
82,Communicating with Data in the Tidyverse,R
83,ChIP-seq Workflows in R,R
84,Joining Data in R with data.table,R
85,Foundations of Functional Programming with purrr,R
86,Visualization Best Practices in R,R
87,Building Dashboards with shinydashboard,R
88,Modeling with Data in the Tidyverse,R
89,Human Resources Analytics in R: Exploring Employee Data,R
90,Business Process Analytics in R,R
91,Working with Data in the Tidyverse,R
92,Supervised Learning in R: Case Studies,R
93,Forecasting Product Demand in R,R
94,Marketing Analytics in R: Statistical Modeling,R
95,Network Analysis in R: Case Studies,R
96,Hierarchical and Mixed Effects Models,R
97,Parallel Programming in R,R
98,Introduction to Bioconductor,R
99,Human Resources Analytics in R: Predicting Employee ...,R
100,Data Privacy and Anonymization in R,R
101,Nonlinear Modeling in R with GAMs,R
102,Bayesian Modeling with RJAGS,R
103,Structural Equation Modeling with lavaan in R,R
104,Differential Expression Analysis in R with limma,R
105,Factor Analysis in R,R
106,Marketing Analytics in R: Choice Modeling,R
107,Categorical Data in the Tidyverse,R
108,Multivariate Probability Distributions in R,R
109,Experimental Design in R,R
110,Building Response Models in R,R
111,Bayesian Regression Modeling with rstanarm,R
112,Intermediate Functional Programming with purrr,R
113,Analyzing Survey Data in R,R
114,Mixture Models in R,R
115,Network Science in R - A Tidy Approach,R
116,Hyperparameter Tuning in R,R
117,Support Vector Machines in R,R
118,Interactive Maps with leaflet in R,R
119,Analyzing Election and Polling Data in R,R
120,A/B Testing in R,R
121,RNA-Seq Differential Expression Analysis,R
122,Analyzing US Census Data in R,R
123,Anomaly Detection in R,R
124,Dealing With Missing Data in R,R
125,Survival Analysis in R,R
126,Financial Analytics in R,R
127,Interactive Data Visualization with rbokeh,R
128,Machine Learning in the Tidyverse,R
129,Predictive Analytics using Networked Data in R,R
130,Designing and Analyzing Clinical Trials in R,R
131,Single-Cell RNA-Seq Workflows in R,R
132,Linear Algebra for Data Science in R,R
133,Time Series with data.table in R,R
134,Generalized Linear Models in R,R
135,Fraud Detection in R,R
136,GARCH Models in R,R
137,Course Creation at DataCamp,R
138,Longitudinal Analysis in R,R
139,Advanced Dimensionality Reduction in R,R
140,Probability Puzzles in R,R
141,Highcharter for Finance in R,R
0,Introduction to Python,Python
1,Intermediate Python for Data Science,Python
2,Introduction to Databases in Python,Python
3,Interactive Data Visualization with Bokeh,Python
4,Python Data Science Toolbox (Part 2),Python
5,Python Data Science Toolbox (Part 1),Python
6,Statistical Thinking in Python (Part 1),Python
7,Statistical Thinking in Python (Part 2),Python
8,Importing Data in Python (Part 2),Python
9,Importing Data in Python (Part 1),Python
10,pandas Foundations,Python
11,Manipulating DataFrames with pandas,Python
12,Merging DataFrames with pandas,Python
13,Introduction to Data Visualization with Python,Python
14,Network Analysis in Python (Part 1),Python
15,Supervised Learning with scikit-learn,Python
16,Deep Learning in Python,Python
17,Cleaning Data in Python,Python
18,Unsupervised Learning in Python,Python
19,Machine Learning with the Experts: School Budgets,Python
20,Data Types for Data Science,Python
21,Network Analysis in Python (Part 2),Python
22,Natural Language Processing Fundamentals in Python,Python
23,Building Chatbots in Python,Python
24,Extreme Gradient Boosting with XGBoost,Python
25,Importing & Managing Financial Data in Python,Python
26,Manipulating Time Series Data in Python,Python
27,Introduction to Time Series Analysis in Python,Python
28,Parallel Computing with Dask,Python
29,Introduction to PySpark,Python
30,Case Studies in Statistical Thinking,Python
31,Visualizing Time Series Data in Python,Python
32,Python for R Users,Python
33,Intro to Financial Concepts using Python,Python
34,Intro to Portfolio Risk Management in Python,Python
35,Introduction to Linear Modeling in Python,Python
36,Introduction to Using MongoDB for Data Science with ...,Python
