,Number,State/UT,Admin_Capital,Legislative_Capital,Judiciary_Capital,Year_Capital,Former_Capital
0,1,Andaman and Nicobar Islands,Port Blair,—,Kolkata,1955,Calcutta (1945–1955)
1,2,Andhra Pradesh,Hyderabad (de jure to 2024)Amaravati (de facto from 2017)[3] [4] [a],Amaravati [3],Amaravati,19562017,Kurnool (1953-1956)
2,3,Arunachal Pradesh,Itanagar,Itanagar,Guwahati,1986,—
3,4,Assam,Dispur,Guwahati,Guwahati,1975,Shillong[b] (1874–1952)
4,5,Bihar,Patna,Patna,Patna,1912,—
5,6,Chandigarh,Chandigarh[c],—,Chandigarh,1966,—
6,7,Chhattisgarh,Atal Nagar[d],Raipur,Bilaspur,2000,—
7,8,Dadra and Nagar Haveli,Silvassa,—,Mumbai,1945,Mumbai (1954–1961)  Panaji (1961–1987)
8,9,Daman and Diu,Daman,—,Mumbai,1987,Ahmedabad (1961–1963) Panaji (1963–1987)
9,10,National Capital Territory of Delhi,New Delhi,New Delhi,New Delhi,1931,—
10,11,Goa,Panaji[e],Porvorim,Mumbai,1961,Panaji (1961–1987)
11,12,Gujarat,Gandhinagar,Gandhinagar,Ahmedabad,1960,Ahmedabad (1960–1970)
12,13,Haryana,Chandigarh,Chandigarh,Chandigarh,1966,—
13,14,Himachal Pradesh,"Shimla
Dharamshala (W/2nd)[8]","Shimla (Summer)
Dharamsala(Winter)",Shimla,"1971
2017",Bilaspur (1950–1956)
14,15,Jammu and Kashmir,Srinagar (Summer)Jammu (Winter),Srinagar (Summer)Jammu (Winter),Srinagar (Summer)Jammu (Winter),1947,—
15,16,Jharkhand,Ranchi,Ranchi,Ranchi,2000,—
16,17,Karnataka,Bengaluru,Bengaluru,Bengaluru,1940,(Mysore)
17,18,Kerala,Thiruvananthapuram,Thiruvananthapuram,Kochi,1956,—
18,19,Lakshadweep,Kavaratti,—,Kochi,1956,—
19,20,Madhya Pradesh,Bhopal,Bhopal,Jabalpur,1956,Nagpur[f] (1861–1956)
20,21,Maharashtra,Mumbai[g],Mumbai (Summer),Mumbai,1818,—
21,22,Manipur,Imphal,Imphal,Imphal,1947,—
22,23,Meghalaya,Shillong,Shillong,Shillong,1970,—
23,24,Mizoram,Aizawl,Aizawl,Guwahati,1972,—
24,25,Nagaland,Kohima,Kohima,Guwahati,1963,—
25,26,Odisha,Bhubaneswar,Bhubaneswar,Cuttack,1948,Cuttack (1936–1948)
26,27,Puducherry,Puducherry,Puducherry,Chennai,1954,Madras (1948–1954)
27,28,Punjab,Chandigarh,Chandigarh,Chandigarh,1966,—
28,29,Rajasthan,Jaipur,Jaipur,Jodhpur,1950,—
29,30,Sikkim,Gangtok[h],Gangtok,Gangtok,1890,—
30,31,Tamil Nadu,Chennai[i],Chennai,Chennai,1956,—
31,32,Telangana,Hyderabad[j],Hyderabad,Hyderabad,2014,—
32,33,Tripura,Agartala,Agartala,Agartala,1956,—
33,34,Uttar Pradesh,Lucknow,Lucknow,Allahabad,1938,—
34,35,Uttarakhand,Dehradun[k],Dehradun,Nainital,2000,—
35,36,West Bengal,Kolkata,Kolkata,Kolkata,1947,—
