,Company name,Website,Sector,Region,Revenue Band
0,1PM PLC,http://www.1pm.co.uk/Contact-1pm,Financial services,South West England,£10M - £20M
1,24 X 7 LTD.,http://www.24x7ltd.co.uk/index.php,Transportation services,East of England,£6M - £10M
2,3T LOGISTICS HOLDINGS LIMITED,http://www.3t-europe.com,Transportation services,East Midlands,£10M - £20M
3,3T'S LEISURE LTD.,http://www.surfbayleisure.co.uk/,Leisure,South West England,£20M - £30M
4,A P P WHOLESALE PLC,https://www.appwholesaleplc.co.uk ,Wholesale,London,£100M - £150M
5,A R DEMOLITION LIMITED,http://www.ardemolition.co.uk,Engineering & Construction,East Midlands,£10M - £20M
6,A. & J. STEPHEN (HOLDINGS) LIMITED,https://www.stephen.co.uk/,Engineering & Construction,Scotland,£20M - £30M
7,A. MIR & CO. LIMITED,http://www.a-mir.co.uk ,Manufacturing,West Midlands,£10M - £20M
8,A.& E.ELKINS LIMITED,http://aeelkins.co.uk,Building & Landscape services,London,£40M - £50M
9,A.EDMONDS & CO.LIMITED,http://www.edmonds.uk.com,Engineering & Construction,West Midlands,£6M - £10M
10,A.J.N. STEELSTOCK LTD.,https://www.ajnsteelstock.co.uk/,Transportation services,East of England,£75M - £100M
11,AA WOODS HOLDINGS LIMITED,http://aawoods.co.uk/,Waste Management,East of England,£10M - £20M
12,ABSOLUTE APPAREL LIMITED,http://www.absoluteapparel.co.uk ,Wholesale,West Midlands,£10M - £20M
13,ABZENA PLC,http://www.abzena.com,Pharmaceuticals & Biotechnology,East of England,£10M - £20M
14,ACCORA LIMITED,http://www.accora.uk.com ,Healthcare,East of England,£10M - £20M
15,MAST GROUP LIMITED,http://www.mastgrp.com/,Manufacturing,North West England,£10M - £20M
16,ACM GROUP LIMITED,https://www.alphacapitalmarkets.co.uk,Financial services,South East England,£6M - £10M
17,ACORNE LIMITED,https://www.acorne.co.uk,Professional services,South East England,£40M - £50M
18,ACTIVE FLOORING SOLUTIONS LIMITED,http://www.active-flooring.com,Building & Landscape services,North West England,£6M - £10M
19,ACTURIS GROUP LIMITED,http://www.acturis.com ,Information Technology,London,£50M - £75M
20,ADAMS AVIATION SUPPLY COMPANY LIMITED,http://www.adamsaviation.com ,Wholesale,South East England,£20M - £30M
21,ADEPT CARE HOMES LIMITED,http://adeptcarehomes.co.uk,Healthcare,East Midlands,£10M - £20M
22,ADEY HOLDINGS LIMITED,http://www.adeysteelgroup.co.uk,Metal Manufacturing & Engineering,East Midlands,£20M - £30M
23,ADT WORKPLACE LIMITED,http://www.adtworkplace.com/,Architecture & Engineering,North West England,£30M - £40M
